Experiment,Class,Image,Top1_Logit,Entropy,SSIM
E5,0,0,0.993614435,0.050710566,0
E5,0,1,0.993627191,0.051181361,0
E5,0,2,0.994332314,0.046537936,0
E5,0,3,0.992425323,0.059159223,0
E5,0,4,0.994126797,0.047817752,0
E5,0,5,0.992546022,0.058802463,0
E5,0,6,0.992351353,0.059929326,0
E5,0,7,0.993754864,0.05051361,0
E5,0,8,0.994768143,0.043053806,0
E5,0,9,0.994140685,0.046989772,0
E5,1,0,0.995255411,0.040066376,0
E5,1,1,0.996487141,0.030605387,0
E5,1,2,0.996860981,0.028031252,0
E5,1,3,0.995747387,0.036263812,0
E5,1,4,0.996592343,0.029939372,0
E5,1,5,0.995598257,0.037620038,0
E5,1,6,0.996920824,0.027301803,0
E5,1,7,0.995678842,0.036998663,0
E5,1,8,0.996286988,0.031958435,0
E5,1,9,0.996156514,0.033445921,0
E5,2,0,0.987978339,0.09023574,0
E5,2,1,0.989260197,0.08175499,0
E5,2,2,0.989394128,0.081175163,0
E5,2,3,0.990210056,0.075536251,0
E5,2,4,0.988597512,0.08644487,0
E5,2,5,0.988834083,0.084695995,0
E5,2,6,0.988064587,0.089376159,0
E5,2,7,0.989173532,0.082408808,0
E5,2,8,0.987792075,0.091442876,0
E5,2,9,0.987939239,0.090678275,0
E5,3,0,0.998035133,0.018484076,0
E5,3,1,0.997695863,0.021259923,0
E5,3,2,0.997685194,0.021345133,0
E5,3,3,0.998264968,0.016469168,0
E5,3,4,0.998138428,0.017601527,0
E5,3,5,0.997952163,0.019171214,0
E5,3,6,0.998126209,0.017639663,0
E5,3,7,0.99819994,0.017073274,0
E5,3,8,0.997497499,0.022927716,0
E5,3,9,0.998385549,0.015485054,0
E5,4,0,0.992965817,0.056551613,0
E5,4,1,0.993763864,0.050927565,0
E5,4,2,0.99123621,0.068519548,0
E5,4,3,0.992529333,0.059370551,0
E5,4,4,0.993215859,0.05470686,0
E5,4,5,0.99377054,0.050837211,0
E5,4,6,0.993716896,0.051475927,0
E5,4,7,0.994071424,0.048464395,0
E5,4,8,0.993737817,0.051014856,0
E5,4,9,0.993782938,0.050740182,0
E5,5,0,0.998138309,0.01748007,0
E5,5,1,0.998203874,0.016851615,0
E5,5,2,0.99797529,0.018707369,0
E5,5,3,0.99825865,0.016357193,0
E5,5,4,0.998178959,0.017046595,0
E5,5,5,0.998348594,0.015632883,0
E5,5,6,0.997996867,0.018556751,0
E5,5,7,0.997827351,0.019951146,0
E5,5,8,0.997776449,0.020367723,0
E5,5,9,0.996940255,0.027309321,0
E5,6,0,0.977388978,0.156895697,0
E5,6,1,0.973983347,0.176607043,0
E5,6,2,0.973379612,0.18063052,0
E5,6,3,0.973913729,0.177172631,0
E5,6,4,0.974862158,0.171510428,0
E5,6,5,0.980950296,0.135530442,0
E5,6,6,0.979305565,0.145391315,0
E5,6,7,0.975864828,0.165501833,0
E5,6,8,0.973886907,0.17654708,0
E5,6,9,0.974959731,0.171293229,0
E5,7,0,0.992207825,0.06201829,0
E5,7,1,0.992855668,0.057483695,0
E5,7,2,0.991470158,0.067142397,0
E5,7,3,0.993160248,0.055263691,0
E5,7,4,0.992260396,0.061533034,0
E5,7,5,0.992922783,0.056830429,0
E5,7,6,0.991870284,0.064295724,0
E5,7,7,0.993750036,0.050858296,0
E5,7,8,0.992276847,0.061472926,0
E5,7,9,0.994787097,0.043259218,0
E5,8,0,0.993078768,0.054795165,0
E5,8,1,0.994780302,0.043205742,0
E5,8,2,0.994812369,0.042785414,0
E5,8,3,0.993323982,0.053178947,0
E5,8,4,0.9929142,0.056186456,0
E5,8,5,0.994493008,0.044859938,0
E5,8,6,0.994746983,0.043103591,0
E5,8,7,0.993996382,0.048585251,0
E5,8,8,0.99365437,0.051239226,0
E5,8,9,0.993504763,0.051686957,0
E5,9,0,0.992629051,0.058859907,0
E5,9,1,0.993388653,0.053714339,0
E5,9,2,0.991929293,0.063472539,0
E5,9,3,0.992269397,0.06172809,0
E5,9,4,0.992907882,0.056282729,0
E5,9,5,0.992910206,0.056835555,0
E5,9,6,0.99225086,0.061700348,0
E5,9,7,0.992264986,0.061477344,0
E5,9,8,0.990524828,0.071453542,0
E5,9,9,0.992832661,0.057337873,0
E6,0,0,0.994074404,0.047283117,0
E6,0,1,0.992657959,0.056258988,0
E6,0,2,0.992399931,0.057813115,0
E6,0,3,0.992026985,0.060660779,0
E6,0,4,0.992999792,0.054130569,0
E6,0,5,0.992870033,0.055252418,0
E6,0,6,0.992999792,0.053868998,0
E6,0,7,0.991335571,0.06567654,0
E6,0,8,0.991439223,0.065383531,0
E6,0,9,0.993895829,0.048477147,0
E6,1,0,0.998568058,0.013840406,0
E6,1,1,0.998624563,0.01335007,0
E6,1,2,0.998836339,0.011493871,0
E6,1,3,0.998681486,0.01284424,0
E6,1,4,0.998856783,0.011306996,0
E6,1,5,0.998757482,0.012172669,0
E6,1,6,0.998530746,0.014173704,0
E6,1,7,0.998612404,0.013454298,0
E6,1,8,0.998514593,0.014295299,0
E6,1,9,0.998613,0.013456649,0
E6,2,0,0.996185958,0.032440681,0
E6,2,1,0.995432734,0.038136709,0
E6,2,2,0.995570838,0.037005767,0
E6,2,3,0.994556785,0.044183321,0
E6,2,4,0.995570958,0.036690231,0
E6,2,5,0.995038688,0.041162923,0
E6,2,6,0.996355891,0.031115919,0
E6,2,7,0.995769262,0.035520688,0
E6,2,8,0.995146096,0.040087141,0
E6,2,9,0.994395614,0.045379911,0
E6,3,0,0.998101056,0.017533239,0
E6,3,1,0.998408139,0.015063236,0
E6,3,2,0.998342276,0.015585863,0
E6,3,3,0.998173237,0.017029118,0
E6,3,4,0.997713208,0.020759966,0
E6,3,5,0.998283923,0.016080594,0
E6,3,6,0.998321593,0.015800316,0
E6,3,7,0.998352289,0.015523396,0
E6,3,8,0.99846977,0.014525244,0
E6,3,9,0.997743964,0.020505115,0
E6,4,0,0.99822551,0.016590595,0
E6,4,1,0.998429954,0.01485586,0
E6,4,2,0.997833312,0.019784424,0
E6,4,3,0.99856025,0.013789371,0
E6,4,4,0.998322189,0.015787337,0
E6,4,5,0.997642577,0.021436602,0
E6,4,6,0.998681247,0.012751902,0
E6,4,7,0.998108983,0.017597364,0
E6,4,8,0.998400748,0.01512582,0
E6,4,9,0.997055292,0.026151534,0
E6,5,0,0.993215322,0.054863557,0
E6,5,1,0.993791878,0.050658025,0
E6,5,2,0.994359672,0.046768658,0
E6,5,3,0.993263602,0.054592989,0
E6,5,4,0.993447483,0.053206414,0
E6,5,5,0.993374288,0.053767391,0
E6,5,6,0.994341254,0.04678645,0
E6,5,7,0.999563515,0.004579747,0
E6,5,8,0.993744433,0.051086269,0
E6,5,9,0.992896259,0.057212397,0
E6,6,0,0.997885525,0.019363388,0
E6,6,1,0.997761726,0.020364083,0
E6,6,2,0.997947276,0.018869713,0
E6,6,3,0.997891605,0.0193213,0
E6,6,4,0.997124135,0.025546245,0
E6,6,5,0.997435391,0.023043007,0
